Mkt(a1),Advt(a2),Dist(a3),Misc(a4),R&D(a5),Sales(D),__rules_dict,__metrics,Support,Confidence,Lift
L,,L,,,L,"{'Mkt(a1)': 'L', 'Advt(a2)': None, 'Dist(a3)': 'L', 'Misc(a4)': None, 'R&D(a5)': None, 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,,,L,,L,"{'Mkt(a1)': 'L', 'Advt(a2)': None, 'Dist(a3)': None, 'Misc(a4)': 'L', 'R&D(a5)': None, 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,,,,L,L,"{'Mkt(a1)': 'L', 'Advt(a2)': None, 'Dist(a3)': None, 'Misc(a4)': None, 'R&D(a5)': 'L', 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
,L,L,,,L,"{'Mkt(a1)': None, 'Advt(a2)': 'L', 'Dist(a3)': 'L', 'Misc(a4)': None, 'R&D(a5)': None, 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
,L,,L,,L,"{'Mkt(a1)': None, 'Advt(a2)': 'L', 'Dist(a3)': None, 'Misc(a4)': 'L', 'R&D(a5)': None, 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
,L,,,L,L,"{'Mkt(a1)': None, 'Advt(a2)': 'L', 'Dist(a3)': None, 'Misc(a4)': None, 'R&D(a5)': 'L', 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,L,L,,,L,"{'Mkt(a1)': 'L', 'Advt(a2)': 'L', 'Dist(a3)': 'L', 'Misc(a4)': None, 'R&D(a5)': None, 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,L,,L,,L,"{'Mkt(a1)': 'L', 'Advt(a2)': 'L', 'Dist(a3)': None, 'Misc(a4)': 'L', 'R&D(a5)': None, 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,L,,,L,L,"{'Mkt(a1)': 'L', 'Advt(a2)': 'L', 'Dist(a3)': None, 'Misc(a4)': None, 'R&D(a5)': 'L', 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,,L,L,,L,"{'Mkt(a1)': 'L', 'Advt(a2)': None, 'Dist(a3)': 'L', 'Misc(a4)': 'L', 'R&D(a5)': None, 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,,L,,L,L,"{'Mkt(a1)': 'L', 'Advt(a2)': None, 'Dist(a3)': 'L', 'Misc(a4)': None, 'R&D(a5)': 'L', 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,,,L,L,L,"{'Mkt(a1)': 'L', 'Advt(a2)': None, 'Dist(a3)': None, 'Misc(a4)': 'L', 'R&D(a5)': 'L', 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
,L,L,L,,L,"{'Mkt(a1)': None, 'Advt(a2)': 'L', 'Dist(a3)': 'L', 'Misc(a4)': 'L', 'R&D(a5)': None, 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
,L,L,,L,L,"{'Mkt(a1)': None, 'Advt(a2)': 'L', 'Dist(a3)': 'L', 'Misc(a4)': None, 'R&D(a5)': 'L', 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
,L,,L,L,L,"{'Mkt(a1)': None, 'Advt(a2)': 'L', 'Dist(a3)': None, 'Misc(a4)': 'L', 'R&D(a5)': 'L', 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,L,L,L,,L,"{'Mkt(a1)': 'L', 'Advt(a2)': 'L', 'Dist(a3)': 'L', 'Misc(a4)': 'L', 'R&D(a5)': None, 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,L,L,,L,L,"{'Mkt(a1)': 'L', 'Advt(a2)': 'L', 'Dist(a3)': 'L', 'Misc(a4)': None, 'R&D(a5)': 'L', 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,L,,L,L,L,"{'Mkt(a1)': 'L', 'Advt(a2)': 'L', 'Dist(a3)': None, 'Misc(a4)': 'L', 'R&D(a5)': 'L', 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
L,,L,L,L,L,"{'Mkt(a1)': 'L', 'Advt(a2)': None, 'Dist(a3)': 'L', 'Misc(a4)': 'L', 'R&D(a5)': 'L', 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
,L,L,L,L,L,"{'Mkt(a1)': None, 'Advt(a2)': 'L', 'Dist(a3)': 'L', 'Misc(a4)': 'L', 'R&D(a5)': 'L', 'Sales(D)': 'L'}","{'support': 0.5833333333333334, 'confidence': 1.0, 'lift': 1.3333333333333335}",0.5833333333333334,1.0,1.3333333333333335
